time,Gli2,Hif1a,Rel,Aanat,Clock,Per1,Per2,Tef-1,Fos,Nfkb1,Arid3A,Atf1,Bach1,E2F6,Egr1,Stat3,Hdac1,Mafk,Mxi1,Phf8,Polr2A,Rcor1,Srebf1,Zmiz1
16,9.179100176,123.508786,2.075143403,1060.648516,21.22901604,6.652349065,4.263124135,29.74411484,32.50135923,20.67140686,4.894213486,24.87150611,3.040310564,32.95748933,8.232165601,57.4111079,56.39913151,4.923428393,38.40449696,24.10709346,67.29977548,24.25505728,63.14288967,63.09645106
17,4.041000754,108.7607928,1.918345324,305.5305139,18.29342574,8.584938819,2.647137418,21.89761466,21.58591215,19.09909765,4.467162522,20.15829297,2.090709131,28.59485197,7.612092309,40.60237665,53.08376465,4.025261456,24.16489986,19.2633843,32.74325596,13.16311419,40.97948952,36.96386137
18,10.74362921,119.1607904,2.330405712,1054.440484,22.02645746,7.970835929,6.149510809,27.34150457,20.2757545,21.20918136,5.40837512,26.52998356,2.581450677,32.51129956,7.390551403,52.35454516,58.65261735,4.509840473,39.14721139,22.88985025,69.9584518,27.0920971,61.57251569,65.30270191
19,0.98510503,40.32246016,0.857390164,284.3888966,5.530175395,6.311034593,0.559574172,19.66372387,6.19380521,7.695044763,1.004373418,15.93807949,0.061889522,13.32648183,4.898411323,18.61796158,54.39440529,4.35378397,17.31754538,3.698896048,11.89208306,10.95835875,22.13117395,18.4860167
20,6.921992487,98.65581508,2.291786539,704.8358934,21.82248004,6.107124938,3.90119278,30.74058285,15.3520082,21.91959697,4.015027095,21.0270831,2.018692381,27.36113362,4.065516382,57.24957135,56.75674262,5.756380019,30.16062187,23.78789547,52.96535946,22.11265494,38.01425843,68.18160975
21,5.027580319,102.2119014,2.146584595,492.0934662,17.87870915,12.69183384,2.850729671,28.16908874,14.14395262,20.97167619,4.825827052,20.80356032,1.750127207,29.31615756,6.542625251,46.78565476,70.42079015,6.20845828,23.12715378,17.19255254,36.76751316,17.10559599,39.65494383,48.28102638
22,0.938519626,45.88610679,0.526452449,581.8079071,6.055092513,4.108605223,0.872003304,23.46965053,5.536491466,5.976118831,0.893936051,16.7995349,0.045601489,15.26127124,3.668792799,18.56189677,47.85910345,3.80271596,20.80139957,4.432408473,10.60991619,12.07234244,18.56349749,22.10377567
23,1.706743589,41.53271805,1.06881967,521.4794241,6.913056916,7.45672463,3.094502459,20.50482148,6.45158554,10.02497587,2.279951438,20.19450281,0.155970672,17.93212725,16.24562522,28.00719704,56.19214862,5.296645007,23.16991835,5.093276117,13.32819601,13.7003982,18.65352327,23.60004077
24,2.64654966,119.7831781,1.504918169,237.3664037,15.03088748,6.414207286,1.508496351,21.14711879,17.55966743,16.01943739,2.804479007,26.3772074,0.794088476,28.10960122,2.148835632,27.56646091,56.05707872,4.128994765,29.22751842,14.13038038,18.04913854,17.75508259,31.86235822,28.93060092
25,5.850121418,117.502742,1.967211147,179.2195705,19.25521748,5.346685854,1.884845301,27.67417309,10.76591517,18.2090593,4.906727334,22.66724594,1.259481925,24.87020142,2.708570203,32.41135086,59.50143516,3.663116278,24.46079778,15.18569797,28.31583047,20.88654816,38.57280541,41.04835827
26,2.756416614,63.29352516,1.124669801,975.115121,7.921551532,10.0149653,1.427905171,21.16391607,34.47461721,14.87535329,3.698594123,19.0342256,0.122676129,24.32309607,8.197273822,32.35189501,73.03141895,5.379800473,29.13095846,9.125021545,21.29653458,12.57401776,40.04771227,33.27580216
27,6.142753517,122.7203831,1.984722012,264.998515,19.45307268,8.219475024,1.662530047,27.29196641,17.97727816,17.14536212,5.305545185,18.91708903,1.717664882,24.82889762,10.8690813,36.28536667,54.27193499,4.05435403,21.74652399,16.59182143,40.38845451,16.71900486,41.31420328,53.05825365
28,3.676493355,120.3998525,1.27143398,155.9636766,17.36646183,6.050290604,1.41204834,21.00542793,16.38815874,17.36351654,3.411363708,28.1815303,1.49779577,24.83857422,4.252311236,30.8422417,56.14099422,4.278445729,28.15503061,13.24662664,22.45303764,16.5448245,36.96967156,28.35278452
29,4.331685265,98.16497984,2.119520748,182.506203,16.73184382,7.927045984,2.439633347,15.9513985,22.84270896,18.71122936,4.196721987,22.75360609,1.467179663,26.36641384,9.84473719,34.60624636,52.13280194,6.364418124,23.8905891,16.04216879,30.21807594,13.60184806,40.6391895,32.9386446
30,7.528363631,117.5359345,1.285959381,717.2885576,22.03087754,9.103717963,4.198324938,29.40335983,33.54298392,18.67679151,3.498071452,25.84706396,1.998835921,27.96222928,6.241833195,60.25635478,61.65354181,5.617462767,34.81096992,23.89526196,65.37207032,21.81813066,54.31619867,77.94831959
31,6.055300519,113.7979919,1.814879619,64.07752945,18.98932961,7.604333509,3.165184067,27.29858155,10.71834281,16.64975654,5.380337776,19.71754251,2.134632999,19.85972052,11.9477478,32.83733141,53.0715572,5.132956246,23.33057983,15.07770535,31.89663971,13.52041146,36.70773641,33.92394149
32,4.038309866,117.910834,1.595146245,168.4932057,13.74148061,8.496173837,1.965750587,20.81049043,18.56336847,19.8531145,4.386842822,20.53032753,0.824184503,20.48744114,8.189642293,36.10977899,67.31379316,5.22489351,26.00255947,11.09917061,32.88287338,14.84522607,44.44611456,36.11267972
33,3.334555372,119.5578876,1.647613795,122.9664741,19.61383586,6.565964352,3.799723967,18.86524192,20.06015069,20.96362034,3.430221622,28.24823525,1.861957237,27.74746148,8.688809296,39.66910317,49.02637549,5.230759125,26.95779602,16.05501013,29.94219865,17.76677555,36.13518876,29.02207295
34,2.057626105,86.72527083,1.024237831,103.6154866,9.314597406,6.407102349,0.975786514,19.81124833,12.77494273,15.57391075,3.120565499,22.77653491,0.396531812,22.26493923,5.065974426,25.45885257,58.04179447,5.116416886,25.88917496,7.837463073,16.64089628,14.15904444,26.95588008,20.61040761
35,4.118567652,123.7744558,2.027954125,46.78357605,20.64509103,8.248396956,2.604220047,23.76765877,19.64308316,20.99157624,3.769513335,26.3765654,1.904278705,24.31082135,5.983295681,34.20514882,48.95449673,4.897291698,21.24296761,16.60591541,37.74589461,15.12391695,31.08969678,39.03682715
36,1.84287713,52.84533505,0.905704558,118.5008996,6.9162369,5.057031768,0.806424884,18.79901131,7.612395249,10.72475934,2.136098862,18.97743187,0.262696792,21.49509577,6.239181149,19.43477084,62.31849521,4.27015029,23.3247012,5.262692391,10.03726037,10.48931682,24.39888433,16.02709471
37,5.146098092,104.7759735,1.91055574,357.3773481,21.86704219,7.25571173,3.353249566,25.29611884,17.49100855,20.85670454,4.057810957,20.59370933,2.022117413,24.36167028,3.815198219,43.50729246,51.68213678,5.433707204,27.17270634,20.13256403,56.01952162,13.75425067,37.48159806,59.93550868
38,4.386824063,113.9483532,1.886138236,81.20513284,18.10453934,7.813269246,1.73186824,19.28468094,26.97931138,20.64283581,3.89450351,22.33625504,1.616490657,21.60933709,3.216736592,36.27309057,51.98967341,4.66806055,24.28327522,15.5703428,35.75624437,13.2478757,43.44466837,40.34260021
39,2.167915725,144.3278872,1.414366335,48.52231723,17.4804715,6.864528139,1.553979958,22.69718352,11.43228673,19.0446124,3.06110633,26.38682747,1.050260082,23.41774162,8.285287777,29.89176909,53.6517379,4.052857787,24.88306829,14.17539593,25.98373534,15.79153902,35.70640242,25.9493398
40,5.48191471,136.339509,1.795067047,365.3197466,20.43307606,9.892422781,3.422587108,33.94434937,15.20961389,20.37107967,4.752720127,20.25318537,2.787761991,22.42931494,8.603403889,42.08785862,57.13952717,5.809255067,31.08209147,21.24448772,49.39086998,14.73587178,55.02246932,65.23263946
41,3.710299963,83.4422272,1.178475552,153.4453216,12.62303838,9.439634887,1.156347145,21.70757263,23.35857819,18.0908065,3.964196099,20.87683217,0.833652937,24.30384735,2.842095006,34.55443241,59.70184049,4.70852942,28.13439194,12.16586656,30.21339265,14.13417062,34.51372644,33.74252795
42,3.699332921,95.97941435,1.55697492,128.9284495,11.82747329,10.68373055,1.54515314,19.09727847,32.00621651,19.80835585,4.016915814,21.37019363,0.85687396,23.25134923,5.549577756,36.15392427,63.19374596,6.03043491,24.52021694,9.845987862,25.57123512,17.0185904,38.16814627,32.01604968
43,0.866379797,40.03050948,0.544760557,119.9288497,5.17174933,6.263064634,0.983734134,23.00431055,4.599644111,7.656943591,0.836034266,16.55459115,0.037435293,15.25324683,10.30767035,17.42052731,50.8305506,4.483925177,19.4743578,3.330151551,12.0232135,10.03333764,17.99743939,17.26888069
